object_type,prior,train_size,seed,prior_weight,prediction_error,structural_violation
rigid,none,100,0,0.0,0.034978948533535004,0.02308497577905655
rigid,global,100,0,0.001,0.03497195988893509,0.023074058815836906
rigid,global,100,0,0.01,0.03505108878016472,0.02303243987262249
rigid,global,100,0,0.1,0.03682844340801239,0.023302461951971054
rigid,global,100,0,0.3,0.04375836253166199,0.020539503544569016
rigid,global,100,0,1.0,0.05513429641723633,0.010797027498483658
rigid,global,100,0,2.0,0.05801001563668251,0.008809373714029789
rigid,part,100,0,0.001,0.03497195988893509,0.023074058815836906
rigid,part,100,0,0.01,0.03505108878016472,0.02303243987262249
rigid,part,100,0,0.1,0.03682844340801239,0.023302461951971054
rigid,part,100,0,0.3,0.04375836253166199,0.020539503544569016
rigid,part,100,0,1.0,0.05513429641723633,0.010797027498483658
rigid,part,100,0,2.0,0.05801001563668251,0.008809373714029789
rigid,none,100,1,0.0,0.04825548455119133,0.023471727967262268
rigid,global,100,1,0.001,0.04824547469615936,0.023472730070352554
rigid,global,100,1,0.01,0.04839429631829262,0.023344406858086586
rigid,global,100,1,0.1,0.04944208636879921,0.021300802007317543
rigid,global,100,1,0.3,0.05450752377510071,0.014416194520890713
rigid,global,100,1,1.0,0.058887965977191925,0.010229261592030525
rigid,global,100,1,2.0,0.05951881408691406,0.008346435613930225
rigid,part,100,1,0.001,0.04824547469615936,0.023472730070352554
rigid,part,100,1,0.01,0.04839429631829262,0.023344406858086586
rigid,part,100,1,0.1,0.04944208636879921,0.021300802007317543
rigid,part,100,1,0.3,0.05450752377510071,0.014416194520890713
rigid,part,100,1,1.0,0.058887965977191925,0.010229261592030525
rigid,part,100,1,2.0,0.05951881408691406,0.008346435613930225
rigid,none,100,2,0.0,0.03929826617240906,0.020782921463251114
rigid,global,100,2,0.001,0.039307791739702225,0.02077510766685009
rigid,global,100,2,0.01,0.039156798273324966,0.02060198411345482
rigid,global,100,2,0.1,0.040047843009233475,0.019541805610060692
rigid,global,100,2,0.3,0.04504010081291199,0.017732879146933556
rigid,global,100,2,1.0,0.05493748560547829,0.011653843335807323
rigid,global,100,2,2.0,0.057934291660785675,0.0084236403927207
rigid,part,100,2,0.001,0.039307791739702225,0.02077510766685009
rigid,part,100,2,0.01,0.039156798273324966,0.02060198411345482
rigid,part,100,2,0.1,0.040047843009233475,0.019541805610060692
rigid,part,100,2,0.3,0.04504010081291199,0.017732879146933556
rigid,part,100,2,1.0,0.05493748560547829,0.011653843335807323
rigid,part,100,2,2.0,0.057934291660785675,0.0084236403927207
rigid,none,500,0,0.0,0.011496482416987419,0.006887254770845175
rigid,global,500,0,0.001,0.011499177664518356,0.0069326311349868774
rigid,global,500,0,0.01,0.01132566761225462,0.006996878422796726
rigid,global,500,0,0.1,0.010321061126887798,0.007557190489023924
rigid,global,500,0,0.3,0.010483083315193653,0.007958752103149891
rigid,global,500,0,1.0,0.010947353206574917,0.007368374615907669
rigid,global,500,0,2.0,0.012209022417664528,0.006551648955792189
rigid,part,500,0,0.001,0.011499177664518356,0.0069326311349868774
rigid,part,500,0,0.01,0.01132566761225462,0.006996878422796726
rigid,part,500,0,0.1,0.010321061126887798,0.007557190489023924
rigid,part,500,0,0.3,0.010483083315193653,0.007958752103149891
rigid,part,500,0,1.0,0.010947353206574917,0.007368374615907669
rigid,part,500,0,2.0,0.012209022417664528,0.006551648955792189
rigid,none,500,1,0.0,0.010023701004683971,0.0074364845640957355
rigid,global,500,1,0.001,0.010031471960246563,0.0074392096139490604
rigid,global,500,1,0.01,0.010065540671348572,0.007476218976080418
rigid,global,500,1,0.1,0.010367898270487785,0.008005860261619091
rigid,global,500,1,0.3,0.009498897939920425,0.007051700726151466
rigid,global,500,1,1.0,0.009934922680258751,0.006649168208241463
rigid,global,500,1,2.0,0.012343262322247028,0.008307387121021748
