object_type,prior,train_size,seed,prediction_error,structural_violation
rigid,none,100,0,0.03498005494475365,0.023085488006472588
rigid,global,100,0,0.05930047482252121,0.007467085029929876
rigid,part,100,0,0.05930047482252121,0.007467085029929876
rigid,none,100,1,0.048256415873765945,0.023471461609005928
rigid,global,100,1,0.06010568141937256,0.007135146297514439
rigid,part,100,1,0.06010568141937256,0.007135146297514439
rigid,none,100,2,0.03929949924349785,0.020782845094799995
rigid,global,100,2,0.059524599462747574,0.008041288703680038
rigid,part,100,2,0.059524599462747574,0.008041288703680038
rigid,none,100,3,0.03541703149676323,0.01909489743411541
rigid,global,100,3,0.05952928215265274,0.008362850174307823
rigid,part,100,3,0.05952928215265274,0.008362850174307823
rigid,none,100,4,0.02994525618851185,0.016675742343068123
rigid,global,100,4,0.058989085257053375,0.006467450875788927
rigid,part,100,4,0.058989085257053375,0.006467450875788927
rigid,none,500,0,0.011493101716041565,0.006886105984449387
rigid,global,500,0,0.03339582309126854,0.009724737145006657
rigid,part,500,0,0.03339582309126854,0.009724737145006657
rigid,none,500,1,0.01002338994294405,0.007436502259224653
rigid,global,500,1,0.04369143024086952,0.016718817874789238
rigid,part,500,1,0.04369143024086952,0.016718817874789238
rigid,none,500,2,0.010569349862635136,0.006377578712999821
rigid,global,500,2,0.019492970779538155,0.008463078178465366
rigid,part,500,2,0.019492970779538155,0.008463078178465366
rigid,none,500,3,0.008776000700891018,0.005809324327856302
rigid,global,500,3,0.02865678071975708,0.009822513908147812
rigid,part,500,3,0.02865678071975708,0.009822513908147812
rigid,none,500,4,0.009897916577756405,0.007477235980331898
rigid,global,500,4,0.03141269087791443,0.008933454751968384
rigid,part,500,4,0.03141269087791443,0.008933454751968384
rigid,none,1000,0,0.008465501479804516,0.005695808213204145
rigid,global,1000,0,0.010212515480816364,0.0050320872105658054
rigid,part,1000,0,0.010212515480816364,0.0050320872105658054
rigid,none,1000,1,0.011296135373413563,0.007302619982510805
rigid,global,1000,1,0.008441722951829433,0.004514195956289768
rigid,part,1000,1,0.008441722951829433,0.004514195956289768
rigid,none,1000,2,0.008229576982557774,0.006209800019860268
rigid,global,1000,2,0.011567105539143085,0.006499991286545992
rigid,part,1000,2,0.011567105539143085,0.006499991286545992
rigid,none,1000,3,0.008118747733533382,0.006386231631040573
rigid,global,1000,3,0.01139215286821127,0.007013585884124041
rigid,part,1000,3,0.01139215286821127,0.007013585884124041
rigid,none,1000,4,0.00877765566110611,0.006052463315427303
rigid,global,1000,4,0.008884904906153679,0.004535635467618704
rigid,part,1000,4,0.008884904906153679,0.004535635467618704
rigid,none,5000,0,0.009610813111066818,0.003783857449889183
rigid,global,5000,0,0.00662260502576828,0.0022523696534335613
rigid,part,5000,0,0.00662260502576828,0.0022523696534335613
rigid,none,5000,1,0.008994336239993572,0.005194573197513819
rigid,global,5000,1,0.010353070683777332,0.003768203780055046
rigid,part,5000,1,0.010353070683777332,0.003768203780055046
rigid,none,5000,2,0.008770153857767582,0.006381080020219088
rigid,global,5000,2,0.019250057637691498,0.010258710943162441
rigid,part,5000,2,0.019250057637691498,0.010258710943162441
rigid,none,5000,3,0.012992346659302711,0.005655445158481598
rigid,global,5000,3,0.009145226329565048,0.005145707633346319
rigid,part,5000,3,0.009145226329565048,0.005145707633346319
rigid,none,5000,4,0.010543887503445148,0.00947495922446251
rigid,global,5000,4,0.017872465774416924,0.006822473369538784
rigid,part,5000,4,0.017872465774416924,0.006822473369538784
articulated,none,100,0,0.024447087198495865,0.017945796251296997
articulated,global,100,0,0.08228928595781326,0.007396938744932413
articulated,part,100,0,0.14031735062599182,0.044913411140441895
articulated,none,100,1,0.033170174807310104,0.025091275572776794
articulated,global,100,1,0.11032465845346451,0.04352431744337082
articulated,part,100,1,0.11041008681058884,0.026329226791858673
articulated,none,100,2,0.024580668658018112,0.018581071868538857
articulated,global,100,2,0.08311105519533157,0.007135437801480293
articulated,part,100,2,0.11913377046585083,0.03013525903224945
articulated,none,100,3,0.02719942480325699,0.02085116319358349
articulated,global,100,3,0.08312799781560898,0.00818557757884264
articulated,part,100,3,0.08410035073757172,0.007551329210400581
articulated,none,100,4,0.025485800579190254,0.019575973972678185
articulated,global,100,4,0.1422060877084732,0.04795799404382706
articulated,part,100,4,0.12980377674102783,0.06318993866443634
articulated,none,500,0,0.008280865848064423,0.0055457791313529015
articulated,global,500,0,0.02486298605799675,0.008696678094565868
articulated,part,500,0,0.0406818613409996,0.017006205394864082
articulated,none,500,1,0.009405123069882393,0.006374381482601166
articulated,global,500,1,0.027073930948972702,0.010422841645777225
articulated,part,500,1,0.01734776794910431,0.00926369521766901
articulated,none,500,2,0.008219820447266102,0.005997661501169205
articulated,global,500,2,0.027143416926264763,0.009498732164502144
articulated,part,500,2,0.0139188002794981,0.007938424125313759
articulated,none,500,3,0.007677966263145208,0.005143950693309307
articulated,global,500,3,0.025660941377282143,0.008644805289804935
articulated,part,500,3,0.018581626936793327,0.008568950928747654
articulated,none,500,4,0.00827755592763424,0.0056844474747776985
articulated,global,500,4,0.026218298822641373,0.010273948311805725
articulated,part,500,4,0.01582903228700161,0.007345173042267561
articulated,none,1000,0,0.008297444321215153,0.0052737402729690075
articulated,global,1000,0,0.023051917552947998,0.00942910835146904
articulated,part,1000,0,0.011780738830566406,0.006646288558840752
articulated,none,1000,1,0.009101231582462788,0.004835736006498337
articulated,global,1000,1,0.02174879051744938,0.007279734127223492
articulated,part,1000,1,0.00882730819284916,0.004558635409921408
