object_type,prior,train_size,seed,prior_weight,prediction_error,structural_violation,planning_success
rigid,none,100,0,0.0,0.01547428872436285,0.012010296806693077,0.82
rigid,global,100,0,0.01,0.015464352443814278,0.011994414031505585,0.82
rigid,global,100,0,0.1,0.015480469912290573,0.011933251284062862,0.82
rigid,global,100,0,0.3,0.01549532264471054,0.011741889640688896,0.82
rigid,global,100,0,1.0,0.015412048436701298,0.011437982320785522,0.82
rigid,part,100,0,0.01,0.015464352443814278,0.011994414031505585,0.82
rigid,part,100,0,0.1,0.015480469912290573,0.011933251284062862,0.82
rigid,part,100,0,0.3,0.01549532264471054,0.011741889640688896,0.82
rigid,part,100,0,1.0,0.015412048436701298,0.011437982320785522,0.82
rigid,none,100,1,0.0,0.015206980518996716,0.012303393334150314,0.82
rigid,global,100,1,0.01,0.01520075835287571,0.012284201569855213,0.82
rigid,global,100,1,0.1,0.015163621865212917,0.012094972655177116,0.82
rigid,global,100,1,0.3,0.015114954672753811,0.011756633408367634,0.82
rigid,global,100,1,1.0,0.015034472569823265,0.011577184312045574,0.82
rigid,part,100,1,0.01,0.01520075835287571,0.012284201569855213,0.82
rigid,part,100,1,0.1,0.015163621865212917,0.012094972655177116,0.82
rigid,part,100,1,0.3,0.015114954672753811,0.011756633408367634,0.82
rigid,part,100,1,1.0,0.015034472569823265,0.011577184312045574,0.82
rigid,none,500,0,0.0,0.013922290876507759,0.013180568814277649,0.82
rigid,global,500,0,0.01,0.013904774561524391,0.01308418158441782,0.82
rigid,global,500,0,0.1,0.01384062971919775,0.01210477203130722,0.82
rigid,global,500,0,0.3,0.013792656362056732,0.010996594093739986,0.82
rigid,global,500,0,1.0,0.014382144436240196,0.009330110624432564,0.84
rigid,part,500,0,0.01,0.013904774561524391,0.01308418158441782,0.82
rigid,part,500,0,0.1,0.01384062971919775,0.01210477203130722,0.82
rigid,part,500,0,0.3,0.013792656362056732,0.010996594093739986,0.82
rigid,part,500,0,1.0,0.014382144436240196,0.009330110624432564,0.84
rigid,none,500,1,0.0,0.014529258944094181,0.01171368733048439,0.82
rigid,global,500,1,0.01,0.014407034032046795,0.011621585115790367,0.82
rigid,global,500,1,0.1,0.01419410016387701,0.011262251995503902,0.82
rigid,global,500,1,0.3,0.013676243834197521,0.010505546815693378,0.82
rigid,global,500,1,1.0,0.013622738420963287,0.009289976209402084,0.82
rigid,part,500,1,0.01,0.014407034032046795,0.011621585115790367,0.82
rigid,part,500,1,0.1,0.01419410016387701,0.011262251995503902,0.82
rigid,part,500,1,0.3,0.013676243834197521,0.010505546815693378,0.82
rigid,part,500,1,1.0,0.013622738420963287,0.009289976209402084,0.82
rigid,none,1000,0,0.0,0.01373041421175003,0.0119131775572896,0.8
rigid,global,1000,0,0.01,0.013520704582333565,0.011717270128428936,0.8
rigid,global,1000,0,0.1,0.012887313030660152,0.010444997809827328,0.8
rigid,global,1000,0,0.3,0.01368100754916668,0.010052083060145378,0.8
rigid,global,1000,0,1.0,0.013624293729662895,0.007786128669977188,0.82
rigid,part,1000,0,0.01,0.013520704582333565,0.011717270128428936,0.8
rigid,part,1000,0,0.1,0.012887313030660152,0.010444997809827328,0.8
rigid,part,1000,0,0.3,0.01368100754916668,0.010052083060145378,0.8
rigid,part,1000,0,1.0,0.013624293729662895,0.007786128669977188,0.82
rigid,none,1000,1,0.0,0.014521053060889244,0.012768900021910667,0.82
rigid,global,1000,1,0.01,0.014248413033783436,0.012035036459565163,0.82
rigid,global,1000,1,0.1,0.01363848801702261,0.010491416789591312,0.82
rigid,global,1000,1,0.3,0.013456320390105247,0.010085348039865494,0.82
rigid,global,1000,1,1.0,0.01297565083950758,0.0076227798126637936,0.82
rigid,part,1000,1,0.01,0.014248413033783436,0.012035036459565163,0.82
rigid,part,1000,1,0.1,0.01363848801702261,0.010491416789591312,0.82
rigid,part,1000,1,0.3,0.013456320390105247,0.010085348039865494,0.82
rigid,part,1000,1,1.0,0.01297565083950758,0.0076227798126637936,0.82
articulated,none,100,0,0.0,0.01217776257544756,0.011407529935240746,0.78
articulated,global,100,0,0.01,0.012175309471786022,0.011402611620724201,0.78
articulated,global,100,0,0.1,0.01216150913387537,0.011371709406375885,0.78
articulated,global,100,0,0.3,0.012167450040578842,0.011359193362295628,0.78
articulated,global,100,0,1.0,0.01223713904619217,0.011241042986512184,0.78
articulated,part,100,0,0.01,0.012175500392913818,0.011396810412406921,0.78
articulated,part,100,0,0.1,0.01212964579463005,0.011324175633490086,0.78
articulated,part,100,0,0.3,0.012096982449293137,0.01122278068214655,0.78
articulated,part,100,0,1.0,0.012054846622049809,0.011035846546292305,0.78
articulated,none,100,1,0.0,0.012908732518553734,0.01137471478432417,0.74
articulated,global,100,1,0.01,0.012900717556476593,0.011361007578670979,0.74
articulated,global,100,1,0.1,0.012838100083172321,0.011211655102670193,0.74
articulated,global,100,1,0.3,0.012812930159270763,0.0110815754160285,0.74
articulated,global,100,1,1.0,0.0129588283598423,0.01114745531231165,0.74
articulated,part,100,1,0.01,0.012898217886686325,0.011355381458997726,0.74
articulated,part,100,1,0.1,0.012853789143264294,0.011195039376616478,0.74
articulated,part,100,1,0.3,0.012668902054429054,0.01100830640643835,0.74
articulated,part,100,1,1.0,0.012753459624946117,0.010829995386302471,0.74
articulated,none,500,0,0.0,0.010956862941384315,0.011614619754254818,0.78
articulated,global,500,0,0.01,0.010955200530588627,0.011578705161809921,0.78
articulated,global,500,0,0.1,0.01095898263156414,0.011271381750702858,0.78
articulated,global,500,0,0.3,0.011213299818336964,0.010895851068198681,0.78
articulated,global,500,0,1.0,0.011548402719199657,0.009917453862726688,0.78
articulated,part,500,0,0.01,0.010954703204333782,0.011580030433833599,0.78
articulated,part,500,0,0.1,0.01107155904173851,0.011290800757706165,0.78
articulated,part,500,0,0.3,0.01165933720767498,0.011173516511917114,0.78
